sm;sup_m2;TOT_POB;HOGARES;sup_ev;OBJETIVO;ESC;HOSP;LAYER;ID_USO;POB_X_MANZ;BARRIOS;COMUNAS;x_cen;y_cen;coorCENTRO;coorCENT_1;densidad_pob
079-076;9553.21;1175;408;0;0;0;0;RESIDENCIAL ABIERTO;5;179.21391;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639013.842;6168168.447;-58.48418338;-34.62284438;0.018759549
079-089;9683.51;1175;408;0;0;0;0;RESIDENCIAL ABIERTO;5;181.65827;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639082.75;6168237.334;-58.48344353;-34.62221428;0.018759548
079-101;8303.15;847;322;0;0;0;0;RESIDENCIAL ABIERTO;5;165.68597;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639244.92;6168240.004;-58.48167621;-34.62216823;0.019954592
079-113;16802.43;815;304;0;0;0;0;RESIDENCIAL ABIERTO;5;358.76094;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639474.623;6168217.573;-58.47916863;-34.62233916;0.021351729
079-077;9496.82;1175;408;0;0;0;0;RESIDENCIAL ABIERTO;5;178.15605;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638916.756;6168265.013;-58.4852575;-34.62198735;0.018759548
079-114;7485.08;815;304;0;0;0;0;RESIDENCIAL ABIERTO;5;159.8194;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639427.911;6168305.22;-58.47969223;-34.6215557;0.021351729
079-090;9658.57;1175;408;0;0;0;0;RESIDENCIAL ABIERTO;5;181.19041;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638985.482;6168334.004;-58.48451964;-34.62135634;0.018759548
079-102;13863.36;916;331;0;0;0;0;RESIDENCIAL ABIERTO;5;271.16672;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639164.354;6168319.25;-58.48256743;-34.62146506;0.019559957
079-115;7501.31;854;279;0;0;0;0;RESIDENCIAL ABIERTO;5;129.82098;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639352.073;6168337.099;-58.48052414;-34.62127873;0.017306441
079-078;9558.4;1175;408;0;0;0;0;RESIDENCIAL ABIERTO;5;179.31127;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638819.372;6168361.647;-58.48633486;-34.62112973;0.018759549
067-003;280.79;903;370;0;0;0;0;RESIDENCIAL ABIERTO;5;6.43522;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639460.862;6168432.287;-58.47935393;-34.62040619;0.022918266
079-116;7832.93;916;331;0;0;0;0;RESIDENCIAL ABIERTO;5;153.21177;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639245.828;6168392.828;-58.4816914;-34.62079097;0.019559956
067-002;11533.92;907;346;0;0;0;0;RESIDENCIAL ABIERTO;5;202.70698;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639539.468;6168400.217;-58.47849183;-34.6206845;0.017574856
079-091;9680.84;1175;408;0;0;0;0;RESIDENCIAL ABIERTO;5;181.60819;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638888.371;6168430.484;-58.48559401;-34.62050009;0.018759549
079-103;13884.27;916;331;0;0;0;0;RESIDENCIAL ABIERTO;5;271.57572;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639067.194;6168415.719;-58.48364234;-34.62060892;0.019559957
079-135;13858.35;854;279;0;0;0;0;RESIDENCIAL ABIERTO;5;239.83872;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639342.716;6168447.632;-58.48064429;-34.62028397;0.017306441
