sm;sup_m2;TOT_POB;HOGARES;sup_ev;OBJETIVO;ESC;HOSP;LAYER;ID_USO;POB_X_MANZ;BARRIOS;COMUNAS;x_cen;y_cen;coorCENTRO;coorCENT_1;densidad_pob
081-068;12200.61;831;284;0;0;0;0;RESIDENCIAL ABIERTO;5;187.63656;FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL;10;5637717.858;6169382.985;-58.49850771;-34.61207458;0.015379277
059-035;14727.76;763;269;0;0;1;0;RESIDENCIAL ABIERTO;5;284.03877;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5641006.211;6169322.658;-58.46265714;-34.61217174;0.019285945
089-029A;3936.12;842;292;3686.63;1;0;0;RESIDENCIAL ABIERTO;5;88.56704;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5635235.811;6169453.845;-58.52557195;-34.61176605;0.022501103
081-094A;9925.71;699;279;1796.12;1;0;0;RESIDENCIAL ABIERTO;5;252.63433;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638013.894;6169387.366;-58.49528183;-34.61199534;0.02545252
017-025;3767.23;791;321;0;0;0;0;RESIDENCIAL ABIERTO;5;90.21317;ALMAGRO - BOEDO;5;5644232.567;6169311.885;-58.42749102;-34.61182055;0.023946818
087-093A;4502.6;786;297;0;0;0;0;RESIDENCIAL ABIERTO;5;89.21506;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5636551.881;6169426.738;-58.51122321;-34.61183608;0.019814121
002-041;13172.5;383;196;10597.17;1;1;0;COMERCIAL ADMINISTRATIVO;1;383;CONSTITUCION - MONSERRAT - PUERTO MADERO -  RETIRO - SAN NICOLAS - SAN TELMO;1;5649264.253;6169224.88;-58.37263652;-34.61188519;0.029075726
087-105A;5014.23;936;325;0;0;0;0;RESIDENCIAL ABIERTO;5;115.22825;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5636731.124;6169424.468;-58.50926921;-34.61183267;0.022980248
012-014;13991.69;464;217;2177.06;1;1;0;RESIDENCIAL ABIERTO;5;464;CONSTITUCION - MONSERRAT - PUERTO MADERO -  RETIRO - SAN NICOLAS - SAN TELMO;1;5647705.961;6169247.038;-58.3896238;-34.61191094;0.033162541
087-081A;6346.27;884;328;0;0;0;0;RESIDENCIAL ABIERTO;5;141.96154;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5636373.486;6169425.59;-58.51316743;-34.61187014;0.022369288
028-068;12813.04;666;271;5842.33;1;1;0;RESIDENCIAL ABIERTO;5;666;BALVANERA - SAN CRISTOBAL;3;5646162.704;6169274.899;-58.40644829;-34.6118808;0.051978297
057-108;12524.15;554;208;0;0;0;0;RESIDENCIAL ABIERTO;5;275.89733;CABALLITO;6;5642110.199;6169325.425;-58.45062507;-34.61199456;0.022029226
067-110B;4666.7;698;252;9328.58;1;0;0;RESIDENCIAL ABIERTO;5;97.22768;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5640318.528;6169372.16;-58.47016052;-34.61181991;0.020834354
